,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Tautira,PF,-17.7333,-149.15,75.36,70,63,22.19,light rain
163,San Angelo,US,31.4638,-100.437,85.95,57,75,4.61,broken clouds
164,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,75.54,41,1,8.84,clear sky
165,Norman Wells,CA,65.282,-126.8329,53.64,71,100,12.66,overcast clouds
166,Pak Thong Chai,TH,14.7226,102.0251,73.76,93,76,4.21,broken clouds
167,Port Augusta,AU,-32.5,137.7667,46.18,67,0,6.44,clear sky
168,Namtsy,RU,62.7161,129.6658,68.56,84,95,1.16,overcast clouds
169,Isangel,VU,-19.55,169.2667,75.31,88,100,97.82,overcast clouds
170,Lebu,CL,-37.6167,-73.65,43.92,82,100,5.17,overcast clouds
171,Kautokeino,NO,69.0125,23.0412,54.09,96,100,14.99,overcast clouds
172,Narsaq,GL,60.9167,-46.05,59.22,61,100,4.41,overcast clouds
173,Puerto Ayora,EC,-0.7393,-90.3518,76.96,96,79,5.99,broken clouds
174,Grinnell,US,41.743,-92.7224,91.38,49,0,11.5,clear sky
175,Ajdabiya,LY,30.7554,20.2263,75.56,48,0,9.8,clear sky
176,Plettenberg Bay,ZA,-34.0527,23.3716,54.55,84,59,3.62,broken clouds
177,Bambous Virieux,MU,-20.3428,57.7575,69.22,88,75,16.11,light intensity shower rain
178,Tuy Hoa,VN,13.0833,109.3,78.04,88,99,7.52,overcast clouds
179,Malente,DE,54.1712,10.5552,55.15,76,24,10.98,few clouds
180,Miraflores,MX,19.2167,-98.8083,68.04,83,99,1.68,overcast clouds
181,Sakakah,SA,29.9697,40.2064,87.37,21,0,12.86,clear sky
182,Buchanan,LR,5.8808,-10.0467,75.56,85,100,8.77,overcast clouds
183,Yar-Sale,RU,66.8333,70.8333,56.73,62,100,7.96,overcast clouds
184,Mozarlandia,BR,-14.7447,-50.5706,80.35,33,79,2.28,broken clouds
185,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,89.1,34,83,16.46,broken clouds
186,Vao,NC,-22.6667,167.4833,70.88,56,24,21.39,few clouds
187,Constitucion,CL,-35.3333,-72.4167,47.86,80,68,9.53,broken clouds
188,Khatanga,RU,71.9667,102.5,46.53,79,100,4.03,overcast clouds
189,Boulsa,BF,12.6675,-0.5758,84.22,58,26,10.63,light rain
190,Chokurdakh,RU,70.6333,147.9167,59.68,54,92,9.26,overcast clouds
