City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,Tabuk,PH,77.04,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
202,Kloulklubed,PW,83.19,broken clouds,7.0419,134.2556,Storyboard Beach Resort
203,Tomatlan,MX,85.96,broken clouds,19.9333,-105.25,El Salvial
204,Kaita,JP,80.17,overcast clouds,34.3667,132.55,Kaita Central Hotel
205,Fuerte Olimpo,PY,83.79,broken clouds,-21.0415,-57.8738,Hospedaje DAMI
206,Wanning,CN,81.7,overcast clouds,18.8003,110.3967,Paradise Hotel
207,Damietta,EG,76.17,clear sky,31.4165,31.8133,SULIMAN INN
208,Arys,KZ,76.33,clear sky,42.4252,68.795,Gostinitsa
209,Dhidhdhoo,MV,82.06,moderate rain,6.8833,73.1,Dhidhoo beach
210,Hambantota,LK,78.6,overcast clouds,6.1241,81.1185,Bungalow 63
211,Mahina,PF,80.37,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
212,Nakamura,JP,76.82,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
213,Barreirinha,BR,81.25,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
214,The Pas,CA,79.39,scattered clouds,53.8251,-101.2541,Wescana Inn
215,Pacific Grove,US,84.38,few clouds,36.6177,-121.9166,Lovers Point Inn
216,Domoni,KM,75.18,clear sky,-12.2569,44.5319,Al Djadid
217,Mazarron,ES,78.44,clear sky,37.5992,-1.3149,Apartamentos Oasis de las Palmeras
218,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
219,Kotli Loharan,PK,76.89,smoke,32.5883,74.4932,Ali bhi pan shop
220,Seoni Malwa,IN,76.06,heavy intensity rain,22.45,77.4667,hotel naman residency
221,Catuday,PH,80.33,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
222,Nago,JP,86.43,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
223,Clearwater,US,88.02,overcast clouds,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
